Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787638931,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787638932,1,POST,POST /generate,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,102,0,9,9.648763137256404,8.906866000017999,54.087417999994614,9522.14705882353
1787638932,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,102,0,9,9.648763137256404,8.906866000017999,54.087417999994614,9522.14705882353
1787638933,1,POST,POST /generate,0.000000,0.000000,9,9,9,9,9,9,10,10,10,10,10,211,0,9,9.396949246446244,8.834766000006766,54.087417999994614,9474.431279620852
1787638933,1,,Aggregated,0.000000,0.000000,9,9,9,9,9,9,10,10,10,10,10,211,0,9,9.396949246446244,8.834766000006766,54.087417999994614,9474.431279620852
1787638934,1,POST,POST /generate,28.000000,0.000000,9,9,9,9,9,9,10,10,13,13,13,319,0,9,9.330105053293188,8.698772000002464,54.087417999994614,9449.432601880877
1787638934,1,,Aggregated,28.000000,0.000000,9,9,9,9,9,9,10,10,13,13,13,319,0,9,9.330105053293188,8.698772000002464,54.087417999994614,9449.432601880877
1787638935,1,POST,POST /generate,68.000000,0.000000,9,9,9,9,9,9,10,10,13,13,13,427,0,9,9.284730695551271,8.698772000002464,54.087417999994614,9455.6018735363
1787638935,1,,Aggregated,68.000000,0.000000,9,9,9,9,9,9,10,10,13,13,13,427,0,9,9.284730695551271,8.698772000002464,54.087417999994614,9455.6018735363
1787638936,1,POST,POST /generate,81.333333,0.000000,9,9,9,9,9,9,10,10,13,13,13,535,0,9,9.25953642243026,8.698772000002464,54.087417999994614,9445.343925233645
1787638936,1,,Aggregated,81.333333,0.000000,9,9,9,9,9,9,10,10,13,13,13,535,0,9,9.25953642243026,8.698772000002464,54.087417999994614,9445.343925233645
1787638937,1,POST,POST /generate,88.000000,0.000000,9,9,9,9,9,9,10,10,13,13,13,644,0,9,9.236243285714606,8.698772000002464,54.087417999994614,9444.203416149068
1787638937,1,,Aggregated,88.000000,0.000000,9,9,9,9,9,9,10,10,13,13,13,644,0,9,9.236243285714606,8.698772000002464,54.087417999994614,9444.203416149068
